question,q_len_chars,q_len_words,q_wh_type
"When was Credit Anstalt, the first bank in Vienna, founded?",59,10,year
When were the first commercially available wingsuits for skydiving made?,72,10,year
The USA purchased Alaska in 1867; when did it become one of the states in the United States?,92,18,when
"When was the FAI, the Fdration Aronautique Internationale which governs air sports, aeronautics and astronautics world records, founded?",136,18,year
"The US version of the Indian game pachisi, Parcheesi, was trademarked by US firm E. G. Selchow & Co in what year?",113,22,year
When was the first train run on the route known as the Orient Express?,70,14,year
"Which film which stars John Hurt, Richard Burton (in his last film role) and Suzanna Hamilton is based on a book by George Orwell?",130,24,which
When were Northern Nigeria and Southern Nigeria formally amalgamated?,69,9,year
How many cards are used for a game of canasta?,46,10,quantity
How old was New Zealand golfer Lydia Ko when she turned professional in 2013?,77,14,age
In what year did Sachin Tendulkar formally retire from playing cricket?,71,11,year
When did the USSR and Japan sign a Joint Declaration to end the state of war that existed during World War II and provided for the restoration of normal diplomatic relations?,174,31,year
In American football how far is the longest ever successful field kick in yards?,80,14,how far
The BBC began sending experimental TV images to the British nation in what year?,80,14,year
"On a state visit to Britain in 2003, US President Bush was welcomed by a salute of how many guns?",97,20,quantity
How many poles are there related to the planet Earth?,53,10,quantity
"When was the Sret, initially the criminal investigative bureau of the Paris police, founded?",92,14,year
How many years is Methuselah recorded as having lived?,54,9,age
The explorer Abel Tasman discovered Australia and New Zealand in what year?,75,12,year
When did St Francis of Assisi found the Order of the Friars Minor?,66,13,year
How many bones are there in the human body?,43,9,quantity
Bodyboarding is recorded among Hawaiians when?,46,6,when
"As at 2014, when will the next Winter Olympics be held?",55,11,when
When Malaysian Airlines Flight MH17 was brought down by hostile fire over East Ukraine on 17 July 2014 what was the death toll of passengers and crew?,150,27,year
"When was the Company of Scottish Archers, thought to be one of the oldest sporting bodies in the world, formed?",111,20,year
In which year did the space shuttle Challenger explode 73 seconds after lift off?,81,14,which
"A famous round-robin chess tournament, one of the first super tournaments, was conducted in Hastings in England from August 5 to September 2 of what year?",154,26,year
When was the last year in which the Summer and Winter Olympics were held in the same country and in the same year?,114,23,year
When did freestyle skiing first became a sport contested at the World Olympics?,79,13,year
Since the start of the present ice age about 2.5 million years ago at least how many severe glacial periods have there been?,124,23,quantity
"After Mao Zedong's death his wife, together with others of the Gang of Four, was put on trial and sentenced to death; when did she die?",135,26,when
Egg and spoon races were staged as part of the Diamond Jubilee celebrations for Queen Elizabeth II in 2012. When was the earliest recorded reference in the Oxford English Dictionary to an egg and spoon race?,207,36,when
How many official languages does South Africa have?,51,8,quantity
"As at 2February 2015, when she won No 1 ranking in women's professional golf, what age was Lydia Ko?",100,19,when
When were the annual All-Japan Judo Championships first held in Japan?,70,11,year
When was the Melbourne Cup first officially raced?,50,8,year
When were television sets with built-in closed-caption display first introduced to the US?,90,13,year
Pierre de Coubertin who founded the modern Olympic Games thought competing in art was an essential part of the movement; medals in various arts were awarded from 1912 until when?,178,30,when
"Before Washington became President in 1789 of the newly independent United States of America there had been Presidents variously of the Continental Congress of the United Colonies (formed 1774), then the United States Congress under the Articles of Confederation; how many presidencies were there?",297,44,quantity
"When was critical illness, or trauma, insurance first launched?",63,9,year
"Twenty years after the NFL began formally to review effects of injuries from repetitive play-related head blows e.g. CTE in NFL players, researchers in 2015 announced they had found CTE in what percentage of deceased NFL players examined?",238,38,what
"How many different countries does the 4,370 km (2,715 mi) Congo River run through or border?",92,16,quantity
What is 7 in binary?,20,5,what
"Britain's second-longest-running TV serial has been running, as at the end of 2015, for how many years?",103,17,age
Over how many holes is The British Open (golfing championship) played?,70,11,quantity
"""The melody of the song """"Happy Birthday to You"""" dates from when?""",67,12,when
"In what year did clubs in the first division of the English Football League, founded in 1888, break away and found the Premier League?",134,24,year
"""What year were the films """"Eyes Wide Shut"""", """"Sixth Sense"""", """"Toy Story 2"""", and """"Fight Club"""" released?""",109,17,year
"In 2001 at least how many films released in the USA were sequels, prequels, or the start of a series?",101,20,quantity
"""When did the style of football known as """"Total Football"""" reach the World Cup?""",81,14,when
How many sports are there in a decathlon?,41,8,quantity
When Kobe Bryant of the Lakers played the farewell game of his 20 year NBA career in 2016 what was his score as part of his side's 101-96 win?,142,29,year
What is the name of Adele's first album?,40,8,what
In what year was the Battle of Hastings?,40,8,year
In what year did Prohibition end?,33,6,year
How many pounds are in a short ton?,35,8,quantity
How many acres are in a square mile?,36,8,quantity
How many keys are found on a typical piano?,43,9,quantity
Regular American gasoline has what octane rating?,49,7,what
"If you add all the numbers from 1 to 100, what is the sum?",58,14,what
In what year did the United States celebrate its bicentennial?,62,10,year
What is the sum of all the numbers on a roulette wheel?,55,12,what
How many cards in a deck (not including jokers)?,48,9,quantity
What is the international telephone calling code for the United Kingdom?,72,11,what
How many consecutive strikes must be rolled to achieve a perfect series in bowling?,83,14,quantity
How many leap years occurred in the 20th century?,49,9,quantity
How many teams participated in the 2010 World Cup?,50,9,quantity
How many problems does Jay-Z have?,34,6,quantity
How many syllables does a haiku have?,37,7,quantity
"""In """"Back to the Future Part II"""", what future year did Marty McFly travel to?""",80,15,what
How many ships did Helen's face launch?,39,7,quantity
What is the most points a person can score with a single dart throw?,68,14,what
How many points does a Yahtzee score?,37,7,quantity
In what year did Columbus sail the ocean blue?,46,9,year
What is the square root of 625?,31,7,area
"What is 100 degrees Celsius, in Fahrenheit?",43,7,what
"""How many leagues did Captain Nemo travel """"under the sea""""?""",61,10,quantity
How many years are commemorated by a sesquicentennial?,54,8,age
In what year did the California gold rush start?,48,9,year
How many pence were in a pound prior to 1971?,45,10,quantity
In what year did the Aberfan disaster take place?,49,9,year
In what year did The Great Train Robbery take place?,52,10,year
"Name the year. Churchill makes his famous 'Iron Curtain' speech in Fulton Missouri, Henry Fonda stars as Wyatt Earp in 'My Darling Clementine', and murderer Neville Heath is hanged at Pentonville Prison.",203,32,other
In which year did Desmond Tutu win the Nobel Peace Prize; WPC Yvonne Fletcher shot at Libyan Embassy; Winter Olympics open in Sarajevo?,135,23,which
In which year did King John grant Liverpool its charter?,56,10,which
"In which was the World Expo held in Brisbane, Queensland; Wimbledon defeat Liverpool in the FA Cup; Nelson Mandela celebrated his 70th?",135,22,which
How many bones does the adult human body have?,46,9,quantity
After how many years marriage do you celebrate your Emerald Anniversary?,72,11,age
In what year did Roald Amundsen reach the South Pole for the first time?,72,14,year
In which year was the Battle of Gettysburg; David Lloyd George born; the first section of the London Underground opened?,120,20,which
In which year was Mata Hari arrested; the Battle of Cambrai fought; King George the Fifth changed the Royal family surname to Windsor?,134,23,which
How many pounds are there in one hundredweight?,47,8,quantity
What is the weight in pounds of a gallon of water?,50,11,what
In what year did the Falkands War take place?,45,9,year
"In which year did all of the following occur: QE2 arrives in New York on her maiden voyage, the Kray twins were jailed for life and Boeing 747 makes its first test flight?",171,33,which
"In which year did all of the following occur: Prime Minister imposes direct rule on Northern Ireland, Idi Amin expels 50,000 Asians in 3 months and St Helens win the Rugby League Challenge Cup?",193,34,which
In which year did Louis Bleriot make the first powered flight across the English Channel?,89,15,which
In which year did Chuck Yeager first break the sound barrier in a Bell X-1 rocket plane?,88,17,which
How many letters are there in the Greek alphabet?,49,9,quantity
In which year did Fidel Castro come to power in Cuba?,53,11,which
"""In which year did The Beatles release the film """"Yellow Submarine""""; Alec Rose arrives back in Portsmouth; the last steam passenger train service runs in Britain .""",165,27,which
Which year saw the very first Edinburgh Festival?,49,8,which
"In Geography, one time zone usually represents how many degrees of longitude?",77,12,quantity
How many seats are there in the US Senate?,42,9,quantity
"To within 10 either way, how many seats are there in the US House of Representatives?",85,16,quantity
In which year did the demolition of the Berlin Wall begin?,58,11,which
"In which year did the following happen - Pope John Paul II visited Britain, compact discs went on sale to the public and Grace Kelly died?",138,26,which
How many stars were there on the flag of the USA at the turn of the twentieth century?,86,18,quantity
"In which year did the following happen - Microsoft was registered as a trade name, Brotherhood of Man won Eurovision and Mao Zedong died?",137,24,which
How many lines are there on the London underground railway?,59,10,quantity
According to Douglas Adams what number is the meaning of life?,62,11,what
How many hurdles are there in a men's 110m race?,48,10,quantity
How many stars are on the European Union Flag?,46,9,quantity
How many counters does each player have in a game of backgammon?,64,12,quantity
How many tiles are there in a standard Mah Jong set?,52,11,quantity
In what year was the Battle of Little Bighorn?,46,9,year
How many public companies comprise the Dow Jones Index?,55,9,quantity
In which year in the 20th Century were there three Popes?,57,11,which
In which year did Yuri Gagarin become the first man in space?,61,12,which
In which year did Mussolini seize power in Italy and the Irish Free State become established?,93,16,which
In which year was Gandhi assassinated and the state of Israel set up?,69,13,which
In which year was the Prime Minister Spencer Percival shot on entering the House of Commons?,92,16,which
In which year did 617 Squadron's Dambusters Raid take place?,60,10,which
In which year was the first London Marathon?,44,8,which
"The Berlin Wall was breached in 1989, for how many complete years had it stood?",79,15,quantity
In which year was the Peterloo Massacre?,40,7,which
In which year were the Gordon Riots?,36,7,which
The Easter Rising against British rule in Ireland took place in which year?,75,13,which
In what year did Doctor Who start on television?,48,9,year
How many pairs of chromosomes does a human have?,48,9,quantity
How many days is the gestation period of a domestic dog (5 days either way?,75,15,quantity
In which year did the Boston Tea Party take place?,50,10,which
How many days is the gestation period of a domestic cat (5 days either way)?,76,15,quantity
How many sides has a dodecagon?,31,6,quantity
In which year was the General Strike?,37,7,which
How many squares make up a standard Sudoku grid?,48,9,quantity
In which year was Britain's currency decimalised?,49,7,which
How many squares are visible on a standard Rubik Cube?,54,10,quantity
"Lord Lucan and John Stonehouse disappeared in the same year, which?",67,11,which
In which year were British women granted full voting rights?,60,10,which
How old was Mozart when he died? (a year either way),52,11,age
"In which year did the Easter Rising, against British rule in Ireland, take place?",81,14,which
What is the largest number on a standard backgammon doubling dice?,66,11,what
"Name the year in which Freddie Mercury died, hostage Terry Waite was released and No. 10 Downing Street was mortar bombed?",122,21,which
"In computing, how many bytes are there in a kilobyte?",53,10,quantity
How many chromosomes are there in the female sex cell?,54,10,quantity
In which year was the Battle of Trafalgar?,42,8,which
In which year was the Battle of Agincourt?,42,8,which
In which year were women given the vote in the USA?,51,11,which
In which year was NATO founded?,31,6,which
In which year was the International Garden Festival held in Liverpool?,70,11,which
Which year saw the culmination and end of the Cuban Missile Crisis?,67,12,which
"To within one year either way, in which year was Pluto discovered by Clyde Tombaugh?",84,15,which
"To within one year either way, when was the Sydney Opera House formally opened by Queen Elizabeth II?",101,18,when
The summer Olympic Games were held in Los Angeles in 1984 and in which other year?,82,16,which
When did the Chinese leader Mao Tse Tung die?,45,9,year
How many pounds are there in an imperial ton?,45,9,quantity
"In Benny Hill's 1971 hit, how old was 'Ernie, The Fastest Milkman in the West'?",79,15,age
I In which year was the Piper Alpha oil rig disaster?,53,11,which
In which year was the Hungerford massacre?,42,7,which
How many players are there in a Gaelic Football team?,53,10,quantity
Which number president of the USA was George W Bush?,52,10,which
In which year was NATO formed?,30,6,which
In which year was Mahatma Gandhi assassinated?,46,7,which
How many chromosomes does a normal human have?,46,8,quantity
How many stars make up the European Union flag?,47,9,quantity
"Which cologne, created in 1792, was named after the street number of the building in Glockengasse, Cologne where it was created?",128,21,where
In which year was the 20p coin introduced and the word 'new' dropped from all newly minted coins in Britain?,108,20,which
"To within a year, when were proceedings of the House of Commons first regularly broadcast on TV?",96,17,when
In which year of the 1960s did Sandie Shaw have a number one hit with 'Puppet on a String' and Procol Harum with 'Whiter Shade of Pale'?,136,27,which
In which year was the suffix letter first used on British car registration plates?,82,14,which
How many chains are there in one mile?,38,8,quantity
In which year did the Berlin Wall come down?,44,9,which
What is the minimum age of the President of the USA?,52,11,what
How many legs has a lobster?,28,6,quantity
In which year did the 'Jet Age' become the 'Space Age'?,55,11,which
How many spots are there on a traditional six sided die?,56,11,quantity
How many fences are jumped in completing the Grand National?,60,10,quantity
"""How many contestants are there in Channel 4's TV game show, """"Deal or No Deal""""?""",82,15,quantity
Which is the lowest prime number greater than 50?,49,9,which
In which year was the M1 Motorway opened?,41,8,which
How many points make 'game' in rubber bridge?,45,8,quantity
In which year did Queen Elizabeth the Queen Mother die?,55,10,which
What number Pennsylvania Avenue is the address of the White House?,66,11,what
"""What year did the Queen describe as her """"annus horribilis""""?""",63,10,year
What is the highest number on the Beaufort scale of wind measurement?,69,12,what
What is the highest number on the Mercalli scale of earthquake measurement?,75,12,what
How many pairs of ribs are in the human body?,45,10,quantity
In cricket what score is known as 'Nelson'?,43,8,what
What is the lowest number greater than 1 that is both a square and a cube of two different whole numbers?,105,21,area
What is the highest number that is a common factor (HCF) of 32 and 48?,70,15,what
What year saw the abolition of the death penalty for murder in Britain?,71,13,year
In which year were £1 coins introduced?,39,7,which
In which year did Rudolf Nureyev defect to the West?,52,10,which
In which year was the General Strike in Britain?,48,9,which
In which year was construction of the Berlin Wall started?,58,10,which
In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,81,16,which
In which year was the first English FA cup final held?,54,11,which
How many days are there in the religious period of Lent?,56,11,quantity
In which year was the dwarf planet Pluto discovered?,52,9,which
"In which year was the Battle of Edgehill, the first battle of the English Civil War?",84,16,which
How many chromosomes are in a human body cell?,46,9,quantity
In which year was the Easter Uprising in Ireland?,49,9,which
"In which year did the following events all take place; Church of England ordained its first female priests, the Channel Tunnel opened and the National Lottery started?",167,27,which
"""In the game of bingo, what number can be called as """"was she worth it""""?""",74,15,what
"In which year did the following events all take place; Ken Livingstone became the Mayor of London, England lost 1-0 to Germany in the last match at the old Wembley Stadium and Judith Keppel won the first £1,000,000 on 'Who Wants to be a Millionaire'?",250,45,who
In the game of backgammon with how many pieces does each player begin?,70,13,quantity
In chess how many different opening moves are there?,52,9,quantity
How many lines of poetry are in a sonnet?,41,9,quantity
How many imperial pounds are in an imperial ton?,48,9,quantity
"If Strasbourg is 68 and Montpellier is 34, then what number is Paris?",69,13,what
"If Germany is 49 and the United Kingdom is 44, then what number is France?",74,15,what
"""""""The Last Man In Europe"""" was the working title of which novel?""",66,12,which
What year did the Good Friday Agreement come into effect?,57,10,year
What year did the burning of the Reichstag take place?,54,10,year
"In the current series of car registration plates (2 letters, a 2 digit number then 3 letters), which was the first 2 digit number to be used?",141,27,which
In which year was the £1 note introduced; Burnley beat Liverpool 1-0 in the FA Cup Final; Archduke Ferdinand was assassinated?,126,21,which
In which year was the BBC granted a Royal Charter of Incorporation; Cardiff City beat Arsenal 1-0 at Wembley; Charles Lindbergh crossed the Atlantic Ocean?,155,25,which
How many Parliamentary constituencies are there in the UK?,58,9,quantity
In which year did Mozart die?,29,6,which
In which year did Beethoven die?,32,6,which
Name the year: Chernenko dies; the Achille Lauro is hi-jacked; a Japanese Air Lines 747 crashes killing 520 people.,115,19,other
"In contract rubber bridge, how many points are awarded for successfully making a non-vulnerable contract of four Spades?",120,18,quantity
How many cards are there in a Tarot pack?,41,9,quantity
In which year was the Battle of the Little Big Horn?,52,11,which
"To within 2 years each way, when did the first Crusade, launched by Urban II take place?",88,17,when
The Order of Merit is limited to how many members?,50,10,quantity
In what year did Harold Macmillan introduce Premium Bonds?,58,9,year
"In darts, which score is called 'bed and breakfast'?",52,9,which
"In which year did Lenin die, and Mallory and Irvine disappear on Mount Everest?",79,14,which
"If you were celebrating your coral wedding anniversary, for how many years have you been married?",97,16,age
In which year did Frank Sinatra die after a long illness?,57,11,which
If you were celebrating your pearl wedding anniversary for how many years have you been married?,96,16,age
In which year was Nelson Mandela released from prison?,54,9,which
How many players in a women's lacrosse team?,44,8,quantity
In which year was the National Lottery started?,47,8,which
What is the pan-European emergency telephone number?,52,7,what
What number is dialled to hear the Speaking Clock?,50,9,what
What is the three digit landline telephone number available in the UK to contact the police in non-emergency situations?,120,19,what
In UK 999 is the emergency telephone number to contact the police etc. what is the European equivalent?,103,18,what
"In the Lotto Thunderball draw, you choose 1 Thunderball from how many?",70,12,quantity
In the Euro Millions draw you choose 2 lucky star numbers from how many?,72,14,quantity
In what year was the 50 pence piece introduced?,47,9,year
In what year was the pound coin introduced?,43,8,year
In what year did the 9/11 attacks in the USA take place?,56,12,year
In what year did the 7/7 attacks in London take place?,54,11,year
In which year did the Peterloo Massacre take place?,51,9,which
How many points are awarded to a driver for winning a Formula One Grand Prix?,77,15,quantity
How is the number 2 written when expressed as a binary number?,62,12,when
The Six-Day War took place in which year?,41,8,which
In which year did George the Fourth become king of the United Kingdom?,70,13,which
In which year did men first walk on the moon?,45,10,which
Which year was National Service abolished in the UK?,52,9,which
In which year did Elvis Presley get married?,44,8,which
In what year (5 years either way) was the British Open Golf Championship first held?,84,15,year
In what year (5 years either way) was the US Open Golf Championship first held?,79,15,year
In what year did Yasir Arafat die?,34,7,year
How many test centuries did Don Bradman score?,46,8,quantity
In which year between the World Wars did Britain go off the Gold Standard?,74,14,which
In which year did Dr Who first appear on our television screens played by William Hartnell?,91,16,who
In which year did the pound note cease to be legal tender in England?,69,14,which
In what year did the farthing cease to be legal tender in England?,66,13,year
How many years are there in a Platinum Anniversary?,51,9,age
"What number is on the film star Beetle car, Herbie?",51,10,what
How old was the Queen Mother when she died in March 2002?,57,12,age
How many spoons are there in a full set of Apostle spoons?,58,12,quantity
A standard (Double 6) set of Dominoes contains how many dominoes?,65,11,quantity
How many squares are there on a standard Scrabble board?,56,10,quantity
How many astronauts have walked on the Moon?,44,8,quantity
In what year did the last Moonwalk take place?,46,9,year
"To within 1 year either side, in which year did the half crown cease to be legal tender in the U",96,21,which
To within 1 year either side - in which year did the sixpence cease to be legal tender in the UK?,97,21,which
In what year was the old age pension introduced in the UK?,58,12,year
"To within 1 year either side, in what year did the UK first win the Eurovision Song Contest?",92,18,year
"""To within a year, either way, in which year was """"The Sky at Night"""" first broadcast on TV?""",93,18,which
"In which year in the 1950'S did the UK Top 20 see hits like 'Volare' by Dean Martin, 'Stupid Cupid' by Connie Francis and 'Hello my Darlings' by Charlie Drake?",159,30,which
Within a year either way when was the radio programme 'The Archers' first broadcast throughout the UK?,102,17,when
To within 10 how many stations are served by the London Underground?,68,12,quantity
"Name the year; Minimum wage introduced (£3.60 for over 21s), Prince Edward married Sophie Rhys-Jones, total eclipse of the sun in Cornwall?",139,22,other
State of Israel is proclaimed.,30,5,other
"Treaty of Rome signed, establishing the EEC.",44,7,other
Fall of the Berlin Wall.,24,5,other
In which year did the Battle of Vitoria take place during the Peninsular War?,77,14,which
What is the maximum number of letters and spaces that can be in the name of a racehorse?,88,18,what
In which year was Marie Antoinette executed?,44,7,which
In which year was the first bikini worn in Britain?,51,10,which
In which year did Queen Elizabeth make her first Christmas speech?,66,11,which
How many naturally-occurring elements are there in the periodic table?,70,10,quantity
How old was Elvis Presley when he died in 1977?,47,10,age
How old was Jimi Hendrix when he died in 1970?,46,10,age
In which year was the Lusitania sunk?,37,7,which
"Name the year; the Profumo Affair, first female astronaut and first limited overs cricket final at Lords.",105,17,other
"Name the year; first nuclear power station opened at Calder Hall, Nasser elected President of Egypt, Devon Loch falls at the end of the Grand National?",151,26,other
What is the maximum number of characters in a single SMS (text) message?,72,13,what
How-many possible moves can be chosen from to start a game of chess?,68,13,other
In which year was the Battle of Quebec (where the Heights of Abraham were scaled)?,82,15,where
In which year was the Battle of Balaclava (including the Charge of the Light Brigade)?,86,15,which
How many 'syllables' should a Japanese Haiku poem contain?,58,9,quantity
What is the maximum possible score in a game of ten pin bowling?,64,13,what
In what year did Concorde commence commercial service?,54,8,year
How many years of marriage are celebrated on your Sapphire anniversary?,71,11,age
In what year was decimal coinage introduced in the UK?,54,10,year
Which book opens with the line 'It was a bright cold day in April and the clocks were striking thirteen'?,105,20,which
In what year did the Relief of Mafeking take place during the Boer War?,71,14,year
In which year did Sir Francis Drake defeat the Spanish Armada?,62,11,which
"In which year did China resume sovereignty over Hong Kong, Princess Diana die and Tony Blair become Prime Minister?",115,19,which
"In which year did Saigon fall to end the Vietnam War, Margaret Thatcher become leader of the Conservative Party and General Franco die?",135,23,which
The first space satellite 'Sputnik' was launched in which year?,63,10,which
The first commercial Concorde flight from Paris to Rio de Janeiro took place in which year?,91,16,which
How many days are there in Lent?,32,7,quantity
"""In which year did the slogan """"Not a penny off the pay, not a second on the day"""" become prominent?""",101,20,which
"Within one year either way, in what year was the Girl Guides Association formed?",80,14,year
"Within one year either way, in which year did the composer Rachmaninov and the actor Leslie Howard die?",103,18,which
How many points does it take to win a game of table tennis?,59,13,quantity
How many fluid ounces are there in an American gallon?,54,10,quantity
In which year did Elvis Presley die?,36,7,which
"To within a year, when did Tom Watson win his last Open Championship?",69,13,when
What is the maximum score for one stroke in billiards?,54,10,what
In which year was HRH Prince Harry born; the first Apple Macintosh went on sale; the UK coal industry strike began?,115,21,which
Name the year: The Wall Street Crash; Italy and the Vatican signed the Lateran Treaty; Herbert Hoover inaugurated as 31st president of America,142,23,other
What cricket score is nicknamed 'Nelson'?,41,6,what
How many fluid ounces are there in an American pint?,52,10,quantity
Apart from 1966 when was the only other year when England reached the semi-final of the FIFA world Cup?,103,19,when
"In which year did the following events occur; Helen Sharman became the first Briton in space, Tim Berners-Lee established the first website and Robert Maxwell died?",164,26,which
"""The-new Boeing """"Dreamliner"""" aircraft has which numerical designation?""",73,8,which
"The Lusitania was sunk, with much loss of life, on May 7th of which year?",73,15,which
"Michael Phelps has won 22 Olympic medals, more than any other person, how many of these were Gold?",98,18,quantity
The airship Hindenburg caught fire and was destroyed on May 6th of which year?,78,14,which
"How long, in feet, is a tennis court?",37,8,quantity
"In which year did two jumbo jets collide at Tenerife airport, killing 583 people?",81,14,which
In which year was the fifty pence piece first issued?,53,10,which
In which year was the Panama Canal opened?,42,8,which
Juries in criminal cases in Scotland uniquely consist of how many members?,74,12,quantity
"In which year did the First Battle of St Albans, the first battle of the Wars of the Roses, take place?",103,21,which
In which year were both the Chernobyl and Challenger Shuttle disasters?,71,11,which
In what year was the Russian submarine Kursk sunk and the USS Cole attacked in Aden?,84,16,year
In which year did the Space Shuttle Challenger crash?,53,9,which
In which year of WWI did allied forces land at Gallipoli?,57,11,which
In which year was the M25 opened by Margaret Thatcher?,54,10,which
In what year did the Jarrow Crusade take place?,47,9,year
In what year was the first British Census undertaken?,53,9,year
In what year did Britain have a Labour government for the first time?,69,13,year
how many medals did GB win in the 2012 Olympics?,48,10,quantity
"""In what year did Enoch Powell make his famous """"rivers of blood"""" speech?""",75,13,year
How many points are given to a driver for winning a Formula One Grand Prix?,75,15,quantity
How many points are awarded to the driver for second place in a Formula One Grand Prix?,87,17,quantity
"To within a year either way, in which year did the Mallard reach 126mph - a record for a steam loco?",100,21,which
In which year did Michael Owen leave Liverpool FC to move to Real Madrid?,73,14,which
In which year was the English £1 coin introduced?,49,9,which
"Name the year that Terry Waite was kidnapped in Beirut, and the 'Herald of Free Enterpise' capsized off the coast near Zeebrugge?",129,22,other
In what year was the Central London Traffic Congestion Charge introduced?,73,11,year
To the nearest whole number what is the normal body temperature of a human on the Celsius scale?,96,18,who
What score in cricket is considered unlucky by Australians?,59,9,what
After how many years is a Ruby wedding anniversary celebrated?,62,10,age
"In which year was the Bhopal disaster at the Union Carbide India Ltd. pesticide plant, the privatisation of British Telecom and the Queen opened the Thames Flood barrier?",170,28,which
In what year did the Battle of Evesham take place in Britain?,61,12,year
In which year was the Palestine Liberation Organisation formed?,63,9,which
In what year did Finland become a member of the EU?,51,11,year
In which year was the Black Panther Party founded?,50,9,which
In what year did Cyprus become a member of the EU?,50,11,year
6 and 28 are perfect numbers. What is the next perfect number in the sequence?,78,15,what
The SDP (Social Democratic Party) was formed in which year?,59,10,which
Watson and Crick discovered DNA in what year?,45,8,year
In which year did all four of the home nations qualify for the football world cup?,82,16,which
In which year did Charles Lindbergh make the first solo flight across the Atlantic?,83,14,which
How many fluid ounces in a UK pint?,35,8,quantity
Name the year: Winter Olympics held in Innsbruck; The Beatles appear on the Ed Sullivan Show; Radio Caroline first broadcast .,126,21,other
What is the minimum age for male golfers on the European Seniors tour?,70,13,what
In what year of WW2 was the German battleship 'Bismarck' sunk?,62,11,year
In what year of WW2 did the German forces surrender at Stalingrad?,66,12,year
"Six is the first 'Perfect Number', i.e. a number that is the sum of all of its factors (excluding itself), which is the second?",127,24,which
"Which year saw the opening of the Thames flood barrier, the launch of the Hubble telescope and Indira Ghandi's assassination?",125,20,which
"Which year saw the televising of Parliament for the first time, the Romanian civil war resulting in the deaths of the Ceaucescus and the opening of the Berlin Wall?",164,29,which
How many years were between the Norman Conquest and the Great Fire of London?,77,14,age
How many years were between the Gunpowder Plot and the Battle of Trafalgar?,75,13,age
Which is the earliest year from which a car could be described as 'vintage'?,76,14,which
Any building built before which year is automatically 'listed' as historically or architecturally important?,108,14,which
How many Gold Medals did the Great British team win at the 2012 Summer Olympics?,80,15,quantity
What is the maximum score possible in a game of ten pin bowling?,64,13,what
In which year were both the Queen and Marilyn Monroe born?,58,11,which
"In which novel is the world divided into Oceania, Eurasia and Eastasia?",71,12,which
How many successive pots must a snooker player make to score a maximum break of 147?,84,16,quantity
In what year was the first Battle of St. Albans?,48,10,year
In what year was there a vote in the UK on the issue of leaving the then Common Market?,87,19,year
In what year was Queen Elizabeth II born?,41,8,year
The Japanese poetry form known as a Haiku consists of how many syllables?,73,13,quantity
In which year did the National Lottery start in the UK?,55,11,which
"Name the year: The Maastricht Treaty is signed, riots in Los Angeles following the beating of Rodney King by police officers, Denmark wins the UEFA European Football Championships.",180,28,other
In which year were the FIFA World Cup Soccer Finals held in Chile?,66,13,which
"Name the year: the Winter Olympics are held in Sarajevo, Space shuttle Discovery makes its maiden voyage, Fernando Torres is born.",130,21,other
How many countries are there in OPEC?,37,7,quantity
In which year did the UK last win the Eurovision Song Contest with Katrina and the Waves' Love Shine a Light?,109,21,which
In which year did the UK first win the Eurovision Song Contest with Sandi Shaw's Puppet on a String?,100,19,which
In what year did Winston Churchill become Prime Minister for the first time?,76,13,year
In which book would you find this line; 'Who controls the past controls the future. Who controls the present controls the past'?,128,22,who
How many groats were there in £1?,33,7,quantity
"In which year was Facebook launched, George Bush defeated John Kerry in the US Presidential Election and Maria Sharapova won Wimbledon?",135,21,which
"In which year was Dolly the sheep born, Martina Hingis won Wimbledon, and Bill Clinton defeated Bob Dole in the US presidential election?",137,23,which
The bodies of murdered schoolgirls Holly Wells and Jessica Chapman from Soham were discovered in which year?,108,17,which
"To within three years, in which year was the Metropolitan Police Act passed, forming the first official police force?",117,19,which
Name the year Russia shoots down U2 spy plane; France becomes the world's 4th nuclear power and Adolf Eichmann is captured by the Israelis in Buenos Aires.,155,27,other
"Name the year: the U.S. Draft Board refuses Muhammed Ali's exemption, the Boston Strangler is sentenced to life imprisonment and three astronauts perish in the Apollo I fire.",174,28,other
"According to the 1975 hit Paul Simon song, how many different ways are there to leave your lover?",97,18,quantity
In which year was the Aberfan Disaster?,39,7,which
In which year did Richard Nixon resign as US President?,55,10,which
How many gallons of beer are in an English barrel?,50,10,quantity
How many gallons of beer are in an English hogshead?,52,10,quantity
In which year did Sigmund Freud die?,36,7,which
In what year was the Berlin Wall erected?,41,8,year
In 1918 the right to vote was granted to British women over what age?,69,14,what
How many seats do the SNP have in Parliament?,45,9,quantity
In which year was Martin Luther King Jnr assassinated?,54,9,which
"To within a year either side, in which year was the congestion charge introduced in London?",91,16,which
How many digits are on the “long number” seen on the front of a credit or debit card?,85,18,quantity
During the 2 circuits of the Grand National course at Aintree how many jumps are taken by those horses completing the race?,123,22,quantity
In which year was the Channel Tunnel opened?,44,8,which
In what year were British Coal Mines nationalised?,50,8,year
In which year were the Liberal Democrats formed?,48,8,which
In which year was Breakfast TV first broadcast on the BBC?,58,11,which
"Name the year in which Gladiator won the Best Picture Oscar, George W Bush was sworn in as US President and Dennis Tito became the first space tourist?",151,28,which
In a standard game of backgammon with how many playing pieces does each player start the game?,94,17,quantity
In a standard game of draughts with how many playing pieces does each player start the game?,92,17,quantity
